sn	book_id	isbn_10	isbn_13	Title	isbn_13	Title	Amazon	Avg_rating	Ratings	Label
0	aWJ5CgAAQBAJ	1442444967	9781442444966	100 Sideways Miles	9781442444966	100 Sideways Miles	http://www.amazon.com/100-Sideways-Miles-Andrew-Smith/dp/1442444967	4.2	72	YES
1	vnpzAwAAQBAJ	374711348	9780374711344	10:04: A Novel	9780374711344	10:04: A Novel	http://www.amazon.com/10-04-Novel-Ben-Lerner-ebook/dp/B00ILWNTTS	3.3	111	NO
2	zSYhAgAAQBAJ	1626366187	9781626366183	"1969, The Year Everything Changed"	9781626366183	1969: The Year Everything Changed	http://www.amazon.com/1969-Everything-Changed-Rob-Kirkpatrick-ebook/dp/B00CKXABAY	4.1	81	YES
3	OLdpAwAAQBAJ	1617730149	9781617730146	A Bollywood Affair	9781617730146	A Bollywood Affair	http://www.amazon.com/Bollywood-Affair-Sonali-Dev-ebook/dp/B00JVW6GQ0	4.3	191	YES
4	aUa4BxyhHfQC	054551021X	9780545510219	"A Corner Of White: The Colors Of Madeleine, Book One"	9780545510219	"A Corner of White: The Colors of Madeleine, Book One"	http://www.amazon.com/Corner-White-Colors-Madeleine-Book-ebook/dp/B00B9FX68I	3.8	62	YES
6	e9wZivUjOwAC	1101619074	9781101619070	A Duke Never Yields	9781101619070	A Duke Never Yields (Affairs by Moonlight Trilogy Book 3)	http://www.amazon.com/Never-Yields-Affairs-Moonlight-Trilogy-ebook/dp/B0095ZP6AU	4.1	19	YES
7	WJ5nGw3AKZkC	307814181	9780307814180	A Flag For Sunrise	9780307814180	A Flag for Sunrise (Vintage International)	http://www.amazon.com/Flag-Sunrise-Vintage-International-ebook/dp/B007JC1QK0	4.2	29	YES
8	TMmdBAAAQBAJ	1612194249	9781612194240	"A History Of Money, A Novel"	9781612194240	A History of Money: A Novel	http://www.amazon.com/History-Money-Novel-Alan-Pauls-ebook/dp/B00NEUI19U	2.8	4	NA
9	yC2dBAAAQBAJ	1250054281	9781250054289	"A Kim Jong-Il Production, The Extraordinary True Story Of A Kidnapped Filmmaker, His Star Actress, And A Young Dictator'S Rise To Power"	9781250054289	"A Kim Jong-Il Production: The Extraordinary True Story of a Kidnapped Filmmaker, His Star Actress, and a Young Dictator''s Rise to Power"	http://www.amazon.com/Kim-Jong-Il-Production-Extraordinary-Kidnapped-ebook/dp/B00NS3NBY8	4.6	121	YES
10	cJ87AgAAQBAJ	698155092	9780698155091	"A Long Way Home, A Memoir"	9780698155091	A Long Way Home: A Memoir	http://www.amazon.com/Long-Way-Home-Memoir-ebook/dp/B00G3L6JNC	4.5	268	YES
11	kyPsWnDmidIC	1429956313	9781429956314	"A Natural History Of Dragons, A Memoir By Lady Trent"	9781429956314	A Natural History of Dragons: A Memoir by Lady Trent	http://www.amazon.com/Natural-History-Dragons-Memoir-Trent-ebook/dp/B00AEC8P2Y	4.2	160	YES
12	4liVAwAAQBAJ	1632060086	9781632060082	A Planet For Rent	9781632060082	A Planet for Rent	http://www.amazon.com/Planet-Rent-Yoss-ebook/dp/B00UKEGGMM	4.4	9	NA
13	NW_tAAAAQBAJ	545552729	9780545552721	A Snicker Of Magic	9780545552721	A Snicker of Magic	http://www.amazon.com/Snicker-Magic-Natalie-Lloyd-ebook/dp/B00ESIVYPK	4.7	155	YES
14	8-1nBgAAQBAJ	1101875836	9781101875834	"A Strangeness In My Mind, A Novel"	9781101875834	A Strangeness in my Mind: A novel	http://www.amazon.com/Strangeness-my-Mind-novel-ebook/dp/B00SPVZA4C	4.3	57	YES
15	lsItpf9T9qAC	1101606258	9781101606254	"A Tale For The Time Being, A Novel"	9781101606254	A Tale for the Time Being: A Novel	http://www.amazon.com/Tale-Time-Being-Novel-ebook/dp/B008EKMB82	4.2	0	NA
16	LWbhBQAAQBAJ	374712603	9780374712600	"A Wild Swan, And Other Tales"	9780374712600	A Wild Swan: And Other Tales	http://www.amazon.com/Wild-Swan-Other-Tales-ebook/dp/B00R6E182W	4.1	34	YES
17	HcXTBwAAQBAJ	1601427573	9781601427571	"Accidental Saints, Finding God In All The Wrong People"	9781601427571	Accidental Saints: Finding God in All the Wrong People	http://www.amazon.com/Accidental-Saints-Finding-Wrong-People-ebook/dp/B00VOYP7TA	4.6	308	YES
18	bADGOgdanEAC	307975479	9780307975478	Aces Wild	9780307975478	Aces Wild	http://www.amazon.com/Aces-Wild-Erica-S-Perl-ebook/dp/B00AP2VIMM	3.7	6	NA
19	HunUAgAAQBAJ	1451676611	9781451676617	"After Visiting Friends, A Son'S Story"	9781451676617	After Visiting Friends: A Son''s Story	http://www.amazon.com/After-Visiting-Friends-Sons-Story/dp/1451676611	4.1	517	YES
20	9lAjBQAAQBAJ	1476790124	9781476790121	"After The Parade, A Novel"	9781476790121	After the Parade: A Novel	http://www.amazon.com/After-Parade-Novel-Lori-Ostlund-ebook/dp/B00P42WX0Y	4.4	25	YES
21	kjGSAgAAQBAJ	1466829281	9781466829282	Afterparty	9781466829282	Afterparty	http://www.amazon.com/Afterparty-Daryl-Gregory-ebook/dp/B00HTJ03VG	4.3	89	YES
22	gfcCBAAAQBAJ	812996534	9780812996531	"Against The Country, A Novel"	9780812996531	Against the Country: A Novel	http://www.amazon.com/Against-Country-Novel-Ben-Metcalf-ebook/dp/B00LRIXKVA	3.4	39	NO
23	1Tz4AAAAQBAJ	385349998	9780385349994	All Our Names	9780385349994	All Our Names	http://www.amazon.com/All-Our-Names-Dinaw-Mengestu-ebook/dp/B00F1W0DLS	3.9	149	YES
24	uKWKg5dFjzQC	307961095	9780307961099	All That Is	9780307961099	All That Is	http://www.amazon.com/All-That-James-Salter-ebook/dp/B007WKFMGS	3.4	313	NO
25	3FH2AwAAQBAJ	385755902	9780385755900	All The Bright Places	9780385755900	All the Bright Places	http://www.amazon.com/All-Bright-Places-Jennifer-Niven-ebook/dp/B00LKJHTB8	4.6	570	YES
26	0cH0AAAAQBAJ	1476746605	9781476746609	"All The Light We Cannot See, A Novel"	9781476746609	All the Light We Cannot See: A Novel	http://www.amazon.com/All-Light-We-Cannot-See-ebook/dp/B00DPM7TIG	4.6	0	NA
27	Lod-BAAAQBAJ	146684406X	9781466844063	"All The Old Knives, A Novel"	9781466844063	All the Old Knives: A Novel	http://www.amazon.com/All-Old-Knives-Olen-Steinhauer-ebook/dp/B00MSYOCC8	3.9	344	YES
28	AjRcAwAAQBAJ	038535312X	9780385353120	"All The Truth Is Out, The Week Politics Went Tabloid"	9780385353120	All the Truth Is Out: The Week Politics Went Tabloid	http://www.amazon.com/All-Truth-Out-Politics-Tabloid-ebook/dp/B00JNQKQYC	4.3	90	YES
29	KFpUAwAAQBAJ	62365282	9780062365286	"American Woman, A Novel"	9780062365286	American Woman: A Novel	http://www.amazon.com/American-Woman-Novel-Susan-Choi-ebook/dp/B00JOGB2BC	3.7	49	YES
30	_wZ1Rf1QQ_EC	307962121	9780307962126	Americanah	9780307962126	Americanah (Ala Notable Books for Adults)	http://www.amazon.com/Americanah-Ala-Notable-Books-Adults-ebook/dp/B00A9ET4MC	4.4	0	NA
31	w4Y0CwAAQBAJ	1680030191	9781680030198	Among The Wild Mulattos And Other Tales	9781680030198	Among The Wild Mulattos and Other Tales	http://www.amazon.com/Among-Wild-Mulattos-Other-Tales-ebook/dp/B019ETFMJ6	4	1	NA
32	lrdf-34YLMsC	1250028280	9781250028280	"Amy Falls Down, A Novel"	9781250028280	Amy Falls Down: A Novel	http://www.amazon.com/Amy-Falls-Down-Jincy-Willett-ebook/dp/B009LRWUEM	4.2	99	YES
33	odaAwZOZVW4C	547524552	9780547524559	"An Unfinished Season, A Novel"	9780547524559	An Unfinished Season: A Novel	http://www.amazon.com/Unfinished-Season-Novel-Ward-Just-ebook/dp/B004VNHG36	3.8	63	YES
34	Nh2BAgAAQBAJ	802192874	9780802192875	An Unnecessary Woman	9780802192875	An Unnecessary Woman	http://www.amazon.com/Unnecessary-Woman-Rabih-Alameddine-ebook/dp/B00ET7PJL0	4	313	YES
35	7j2zvyKgeToC	1101626275	9781101626276	And The Mountains Echoed	9781101626276	And the Mountains Echoed	http://www.amazon.com/Mountains-Echoed-Khaled-Hosseini-ebook/dp/B009XIXVU6	4.2	0	NA
36	h08QBwAAQBAJ	1780745230	9781780745237	"Another Man'S War, The Story Of A Burma Boy In Britain'S Forgotten Army"	9781780745237	Another Man''s War: The Story of a Burma Boy in Britain''s Forgotten Army	http://www.amazon.com/Another-Mans-War-Britains-Forgotten-ebook/dp/B00MY8S5OY	4.3	4	NA
37	LzEr5xgwJ3sC	1466801484	9781466801486	"At Last, The Final Patrick Melrose Novel"	9781466801486	At Last: The Final Patrick Melrose Novel	http://www.amazon.com/At-Last-Final-Patrick-Melrose-ebook/dp/B005J4EWU6	4.3	79	YES
